table,col,term,coef,se,N,r2,se_type,formula,note
VII,4,s_religion_god,0.7002448201396426,0.08755191915548605,78,0.7592187812196954,hetero,s_religion_hell ~ kinship_score + ln_time_obs_ea + small_scale + s_religion_god | cont,
VII,5,kinship_score,0.25831478358064724,0.036207655547701056,26220,0.39967116066966524,{'CRV1': 'group'},s_religion_hell ~ kinship_score | wctry + wave,
VII,6,kinship_score,0.1753480501524387,0.024641026882836307,25752,0.4584302874422699,{'CRV1': 'group'},s_religion_hell ~ kinship_score + s_religion_god | wctry + wave,
VII,6,s_religion_god,0.30470059997911747,0.04190601849723388,25752,0.4584302874422699,{'CRV1': 'group'},s_religion_hell ~ kinship_score + s_religion_god | wctry + wave,
VII,7,kinship_score,0.17408875817024613,0.025166617036862297,25722,0.46300833088831694,{'CRV1': 'group'},s_religion_hell ~ kinship_score + female + s_religion_god | wctry + wave + age,
VII,7,s_religion_god,0.2983622304782229,0.040540887992628234,25722,0.46300833088831694,{'CRV1': 'group'},s_religion_hell ~ kinship_score + female + s_religion_god | wctry + wave + age,
VII,8,kinship_score,0.20304882618667286,0.04330878395671646,23891,0.4115882613581566,{'CRV1': 'group'},s_religion_hell ~ kinship_score + female + ln_time_obs_ea_e + small_scale + s_religion_god | wctry + wave + age,
VII,8,s_religion_god,0.3359057358582319,0.032117088567991205,23891,0.4115882613581566,{'CRV1': 'group'},s_religion_hell ~ kinship_score + female + ln_time_obs_ea_e + small_scale + s_religion_god | wctry + wave + age,
VIII,1,corigin_kinship_score,0.1104839058543854,0.04283350647144874,27994,0.03655939211419457,{'CRV1': 'isocode_past_id'},s_mfq_loyalty ~ corigin_kinship_score + female + corigin_ln_time_obs_ea + corigin_small_scale | ctry + year + age,
VIII,2,corigin_kinship_score,-0.22617423732490172,0.13495510682117087,27994,0.027882765958811118,{'CRV1': 'isocode_past_id'},s_mfq_rights ~ corigin_kinship_score + female + corigin_ln_time_obs_ea + corigin_small_scale | ctry + year + age,
VIII,3,corigin_kinship_score,0.3688999278237428,0.12582190027914428,28432,0.056205785103997985,{'CRV1': 'isocode_past_id'},s_values_uniform ~ corigin_kinship_score | ctry + year,
VIII,4,corigin_kinship_score,0.2916210006761608,0.12384248772000522,27994,0.09674617694215548,{'CRV1': 'isocode_past_id'},s_values_uniform ~ corigin_kinship_score + female + corigin_ln_time_obs_ea + corigin_small_scale | ctry + year + age,
VIII,5,corigin_kinship_score,0.35729432220619384,0.044197050715368516,28432,0.04116887551781878,{'CRV1': 'isocode_past_id'},s_mfq_disgusting ~ corigin_kinship_score | ctry + year,
VIII,6,corigin_kinship_score,0.39285178297071977,0.05176393880150175,27994,0.062293428730270994,{'CRV1': 'isocode_past_id'},s_mfq_disgusting ~ corigin_kinship_score + female + corigin_ln_time_obs_ea + corigin_small_scale | ctry + year + age,
VIII,7,corigin_kinship_score,0.41197951602150373,0.046037526806900965,28432,0.044802404926310824,{'CRV1': 'isocode_past_id'},s_mfq_decency ~ corigin_kinship_score | ctry + year,
VIII,8,corigin_kinship_score,0.40678612643122136,0.044157674379993725,27994,0.060240313740249296,{'CRV1': 'isocode_past_id'},s_mfq_decency ~ corigin_kinship_score + female + corigin_ln_time_obs_ea + corigin_small_scale | ctry + year + age,
IX,1,kinship_score,0.3038496505471922,0.17237351522495273,2570,0.008153755156484754,{'CRV1': 'iso_id'},s_disgust ~ kinship_score,
IX,2,kinship_score,0.3229575318797147,0.17097036495841442,2567,0.022656656611026782,{'CRV1': 'iso_id'},s_disgust ~ kinship_score + female | age,
IX,3,kinship_score,0.31099595626232385,0.17145834860812334,2490,0.03104219258759322,{'CRV1': 'iso_id'},s_disgust ~ kinship_score + female + ln_time_obs_ea + small_scale | age,
IX,4,kinship_score,0.27240370030425237,0.13547916034367005,2626,0.006562600855325451,{'CRV1': 'iso_id'},s_diff_shame_guilt_overall ~ kinship_score,
IX,5,kinship_score,0.2728472450275451,0.12610110947597686,2623,0.01243475017757023,{'CRV1': 'iso_id'},s_diff_shame_guilt_overall ~ kinship_score + female | age,
IX,6,kinship_score,0.19743939119102033,0.16723169070207858,2545,0.018950772181155817,{'CRV1': 'iso_id'},s_diff_shame_guilt_overall ~ kinship_score + female + ln_time_obs_ea + small_scale | age,
IX,7,kinship_score,0.7856951296871588,0.3541815678973435,72,0.41659092562541566,{'CRV1': 'iso_id'},s_diff_shame_guilt ~ kinship_score | lang,
IX,8,kinship_score,0.8756569033052071,0.351203204082674,71,0.45414802097778095,{'CRV1': 'iso_id'},s_diff_shame_guilt ~ kinship_score + ln_time_obs_ea + small_scale | lang,
X,1,kinship_score,1.2031972910060857,0.36153791230964866,74,0.14094469667687148,hetero,s_gps_punish_revenge ~ kinship_score,
X,2,kinship_score,1.1880583168290308,0.3908819969200714,74,0.1490624626890784,hetero,s_gps_punish_revenge ~ kinship_score + ln_time_obs_ea + small_scale,
X,3,kinship_score,0.830998884151127,0.4903551079924325,74,0.2902298049187002,hetero,s_gps_punish_revenge ~ kinship_score + ln_time_obs_ea + small_scale | cont,
