var,coef,se,N,year,min95,max95,panel
nh_1884,-0.033544984263271356,0.04904380397260107,182706,1884,-0.1301292789796709,0.06303931045312816,B. Non-Hunan
nh_1885,-0.004713643932590554,0.05444510249407516,182706,1885,-0.1119349726062408,0.1025076847410597,B. Non-Hunan
nh_1886,-0.01440107842967847,0.04803542872743986,182706,1886,-0.10899953183740255,0.0801973749780456,B. Non-Hunan
nh_1887,-0.034570650812674714,0.049379842096348575,182706,1887,-0.13181672138149603,0.06267541975614659,B. Non-Hunan
nh_1888,-0.018785512187334583,0.04754342035846677,182706,1888,-0.11241503012385459,0.07484400574918543,B. Non-Hunan
nh_1889,-0.00331720806533102,0.04717837554841664,182706,1889,-0.09622782590310928,0.08959340977244724,B. Non-Hunan
nh_1890,-0.019192118159111943,0.056778326561178934,182706,1890,-0.1310083759100916,0.0926241395918677,B. Non-Hunan
nh_1891,-0.007894236584809807,0.05436504786143927,182706,1891,-0.11495790986459548,0.09916943669497585,B. Non-Hunan
nh_1892,-0.039925054554512,0.05496844375570835,182706,1892,-0.1481770240544544,0.06832691494543042,B. Non-Hunan
nh_1893,-0.03557060730308443,0.048389199493058345,182706,1893,-0.13086575829788047,0.05972454369171162,B. Non-Hunan
nh_1894,-0.024366585522136663,0.05193612916768108,182706,1894,-0.12664687374697894,0.07791370270270562,B. Non-Hunan
nh_1895,-0.03776817834319991,0.055601904532897393,182706,1895,-0.14726765226652447,0.07173129558012464,B. Non-Hunan
nh_1896,-0.05250779048861259,0.049539903074620605,182706,1896,-0.1500690767512789,0.045053495774053695,B. Non-Hunan
nh_1897,-0.02052312409671817,0.039549924230194614,182706,1897,-0.09841067009527942,0.057364421901843085,B. Non-Hunan
nh_1898,0.004630271053640817,0.021702145008073735,182706,1898,-0.03810879483547408,0.04736933694275572,B. Non-Hunan
nh_1899,-0.03079670757934689,0.02163701483974023,182706,1899,-0.07340750953166017,0.011814094372966398,B. Non-Hunan
nh_1900,0.0031643169990930487,0.026436683858470877,182706,1900,-0.04889870132912032,0.05522733532730642,B. Non-Hunan
nh_1901,0.00618425166759419,0.01999383671454776,182706,1901,-0.03319056148573049,0.04555906482091887,B. Non-Hunan
nh_1902,-0.032279408154406254,0.03687571162913801,182706,1902,-0.10490050014505539,0.04034168383624289,B. Non-Hunan
nh_1903,-0.033181604711371035,0.05071662153368658,182706,1903,-0.13306025857692858,0.0666970491541865,B. Non-Hunan
nh_1904,-0.05487672787346208,0.04286695055102066,182706,1904,-0.1392966514977821,0.029543195750857912,B. Non-Hunan
nh_1905,-0.03476090203849629,0.04221142898152472,182706,1905,-0.11788987587236929,0.048368071795376714,B. Non-Hunan
nh_1906,-0.005299980982811052,0.05542721336261946,182706,1906,-0.11445542727965086,0.10385546531402876,B. Non-Hunan
nh_1907,0.018192915386836442,0.03500891207472659,182706,1907,-0.050751799493251606,0.08713763026692449,B. Non-Hunan
nh_1908,-0.008871989704807237,0.04422199827777453,182706,1908,-0.09596047323668862,0.07821649382707414,B. Non-Hunan
nh_1909,-0.012193568835290887,0.0453545541775923,182706,1909,-0.10151244854263833,0.07712531087205654,B. Non-Hunan
nh_1910,0.008829910320057088,0.046059546281195435,182706,1910,-0.08187734385239465,0.09953716449250882,B. Non-Hunan
h_1821,0.004188824946705251,0.009949609787326822,182706,1821,-0.015405414614100594,0.023783064507511095,C. Difference Hunan - non-Hunan
h_1822,0.03216850923349204,0.030781252601561282,182706,1822,-0.02845047486223653,0.09278749332922062,C. Difference Hunan - non-Hunan
h_1823,0.05954852446017526,0.03255951571758946,182706,1823,-0.004572477728964665,0.12366952664931519,C. Difference Hunan - non-Hunan
h_1824,0.06622291574068351,0.03417697172011752,182706,1824,-0.0010834194484466847,0.13352925092981371,C. Difference Hunan - non-Hunan
h_1825,0.05845185803004833,0.036724312845456034,182706,1825,-0.013871077138364656,0.1307747931984613,C. Difference Hunan - non-Hunan
h_1826,0.054165611257474475,0.03593216907336142,182706,1826,-0.01659731752186458,0.12492854003681353,C. Difference Hunan - non-Hunan
h_1827,0.05736745805843282,0.03591987290308427,182706,1827,-0.013371255288216831,0.12810617140508246,C. Difference Hunan - non-Hunan
