py,gap,gap_se,provid,year,n_princeling,g_xi,g_insp,treat_xi
142007,-1.2051149767961635,0.26410018855041634,14,2007,5,2014,2013,0.0
142008,-0.8193708565710216,0.12079973477644801,14,2008,25,2014,2013,0.0
142009,-0.3605478170786144,0.0988963019014266,14,2009,30,2014,2013,0.0
142010,-0.6311047602922326,0.07702964218370087,14,2010,20,2014,2013,0.0
142011,-0.7818451188925089,0.06242985218810394,14,2011,72,2014,2013,0.0
142012,-1.3145251121791814,0.10243424541982861,14,2012,57,2014,2013,0.0
142013,-1.2006968110666987,0.10297028583510186,14,2013,66,2014,2013,0.0
142014,-0.7548688638826409,0.2678745904037859,14,2014,15,2014,2013,1.0
142015,-0.19194120213166732,0.17981821504714016,14,2015,11,2014,2013,1.0
152006,-0.3394266522768529,0.39891888431894007,15,2006,3,0,2014,0.0
152007,-1.1343007314825542,0.05586645180754548,15,2007,64,0,2014,0.0
152008,-0.8865038757740878,0.04149222690287301,15,2008,93,0,2014,0.0
152009,-0.6382632315119283,0.06252696183052629,15,2009,75,0,2014,0.0
152010,-0.8210308328718721,0.053429615198130914,15,2010,164,0,2014,0.0
152011,-0.4904376136481853,0.0657322700892801,15,2011,113,0,2014,0.0
152012,-0.7741480666090472,0.06331435427740238,15,2012,91,0,2014,0.0
152013,-0.7890737915501002,0.04364624623979336,15,2013,156,0,2014,0.0
152014,-0.6049795424938994,0.11751971996059825,15,2014,42,0,2014,0.0
152015,-0.704946317236345,0.06191258675684817,15,2015,74,0,2014,0.0
152016,-0.2191647143791644,0.10177211031188663,15,2016,38,0,2014,0.0
162006,-0.7356294945949277,0.0,16,2006,3,2014,2014,0.0
162007,-0.8493218456203323,0.1457978072843202,16,2007,17,2014,2014,0.0
162008,-0.9340368744672555,0.08667798738417203,16,2008,38,2014,2014,0.0
162009,-0.8006106253217142,0.0703575784204757,16,2009,31,2014,2014,0.0
162010,-0.9111267315303484,0.07684047571695879,16,2010,77,2014,2014,0.0
162011,-0.6160363307135829,0.05621142454805034,16,2011,129,2014,2014,0.0
