table,panel,outcome,unrest,column,event_time,term,coef,se
VII,B,GOVERNMENT,event_hat_lasso,4,-4,base,-0.21510153760346556,0.24272381970185578
VII,B,GOVERNMENT,event_hat_lasso,4,-4,public security,0.23424615099794383,0.23650020987120324
VII,B,GOVERNMENT,event_hat_lasso,4,-3,base,-0.18307661521318525,0.15421353144556688
VII,B,GOVERNMENT,event_hat_lasso,4,-3,public security,0.17807344302773145,0.14308305573220353
VII,B,GOVERNMENT,event_hat_lasso,4,-2,base,-0.21722039817559607,0.14357865276998202
VII,B,GOVERNMENT,event_hat_lasso,4,-2,public security,-0.038020494174670655,0.18435787619496152
VII,B,GOVERNMENT,event_hat_lasso,4,0,base,0.004410451424680003,0.09832822203218104
VII,B,GOVERNMENT,event_hat_lasso,4,0,public security,0.2615339818001149,0.14964082003969442
VII,B,GOVERNMENT,event_hat_lasso,4,1,base,-0.08718293672683551,0.15678740264200966
VII,B,GOVERNMENT,event_hat_lasso,4,1,public security,0.8054511234005497,0.25274994426684716
VII,B,GOVERNMENT,event_hat_lasso,4,2,base,-0.13159128023641445,0.19490182621250354
VII,B,GOVERNMENT,event_hat_lasso,4,2,public security,1.3142662502328233,0.2400538681760157
VII,B,GOVERNMENT,event_hat_lasso,4,3,base,-0.009009636784113706,0.24963270914245586
VII,B,GOVERNMENT,event_hat_lasso,4,3,public security,1.3849213835900573,0.3425544087116355
VII,B,GOVERNMENT,event_hat_lasso,4,4,base,0.11900532754647071,0.2911414612965439
VII,B,GOVERNMENT,event_hat_lasso,4,4,public security,1.5480819991416819,0.48771816890669084
VII,B,GOVERNMENT,event_hat_lasso,4,5,base,0.22077975118336898,0.3471603056868512
VII,B,GOVERNMENT,event_hat_lasso,4,5,public security,1.8303552378439292,0.5735446987669093
VII,B,GOVERNMENT,event_hat_lasso,4,6,base,0.4343119921975639,0.43533045720672053
VII,B,GOVERNMENT,event_hat_lasso,4,6,public security,1.8586500638137682,0.6296430256617765
VII,B,GOVERNMENT,event_hat_lasso,4,7,base,0.6440213537174816,0.5337574763720431
VII,B,GOVERNMENT,event_hat_lasso,4,7,public security,2.138655868502574,0.7956529540434845
