table,panel,outcome,unrest,column,term,coef,se,N,clusters,omitted,estimator
VII,B,GOVERNMENT,event_hat_lasso,6,8 quarters before contract x public security,0.2118417171867152,0.5584097703829184,14058,81,semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,B,GOVERNMENT,event_hat_lasso,6,8 quarters after contract,2.0546007147629086,0.6426791371839817,14058,81,semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,B,GOVERNMENT,event_hat_lasso,6,8 quarters after contract x public security,1.9371318540340803,0.7589972864250316,14058,81,semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,C,BUSINESS,event,1,8 quarters before contract,2.211803607644949,1.4441131082271073,7520,38,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,C,BUSINESS,event,1,8 quarters before contract x public security,-0.6565606220708085,0.43848704876575384,7520,38,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,C,BUSINESS,event,1,8 quarters after contract,-0.4631425400381073,0.8941104821495406,7520,38,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,C,BUSINESS,event,1,8 quarters after contract x public security,5.552290017506473,2.230400513913158,7520,38,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,C,BUSINESS,event,2,8 quarters before contract,1.681659826913054,1.0117915447304333,4340,34,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data;scale;capital_usd_m,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,C,BUSINESS,event,2,8 quarters before contract x public security,-0.9331425489039158,0.5476745739731058,4340,34,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data;scale;capital_usd_m,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,C,BUSINESS,event,2,8 quarters after contract,0.813373375561474,0.6126361492893322,4340,34,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data;scale;capital_usd_m,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,C,BUSINESS,event,2,8 quarters after contract x public security,1.9488838724336928,1.6069147875058265,4340,34,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data;scale;capital_usd_m,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,C,BUSINESS,event,3,8 quarters before contract,0.26907345802446486,0.451919609934364,7520,38,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,C,BUSINESS,event,3,8 quarters before contract x public security,-0.7681831759196205,0.5221244947853331,7520,38,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,C,BUSINESS,event,3,8 quarters after contract,1.866519672160254,0.6658585426783982,7520,38,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
VII,C,BUSINESS,event,3,8 quarters after contract x public security,4.566108724259829,1.5574491947046811,7520,38,q_47;q_48;semi_to_f_x_with_c;semi_to_f_x_ca;police_data,"sp.feols (HDFE firm + quarter FE, CRV1 place, reghdfe small)"
