exhibit,row,col,file,y,cond,kernel,bwselect,masspts,version,N,h_l,h_r,b_l,b_r,tau_cl,se_cl,tau_bc,se_rb,N_h_l,N_h_r,bw_source
T3,resid1_lnv,4,T3_Channels/channels_Pre_QJE_final.dta,resid1_lnv,neg_ind0==1,tri,mserd,off,statspai_matched,2272,4.989945540316239,4.989945540316239,8.649907856146317,8.649907856146317,-0.08910879833488508,0.12967750726250576,-0.11044382014073229,0.15211537535927935,350,197,rdrobust_py_masspoints_off
T3,resid1_lnv,5,T3_Channels/channels_Pre_QJE_final.dta,resid1_lnv,neg_ind0==1,epa,mserd,off,statspai_native,2272,4.293937802611768,4.293937802611768,8.094825488494498,8.094825488494498,-0.10095518425020557,0.13934381370358437,-0.12604184168056162,0.15969425850564162,291,162,
T3,resid1_lnv,5,T3_Channels/channels_Pre_QJE_final.dta,resid1_lnv,neg_ind0==1,epa,mserd,off,statspai_matched,2272,4.698995011313043,4.698995011313043,8.44138738717373,8.44138738717373,-0.07296558299214141,0.13850025449868192,-0.08950641216435878,0.16034440498719202,324,165,rdrobust_py_masspoints_off
T3,resid1_lnv,6,T3_Channels/channels_Pre_QJE_final.dta,resid1_lnv,neg_ind0==1,uni,mserd,off,statspai_native,2272,5.62367877195493,5.62367877195493,9.374503600727234,9.374503600727234,0.12050775815882951,0.15326380915983745,0.12954978807687723,0.18014565458320622,423,223,
T3,resid1_lnv,6,T3_Channels/channels_Pre_QJE_final.dta,resid1_lnv,neg_ind0==1,uni,mserd,off,statspai_matched,2272,4.829280730197615,4.829280730197615,9.027953614067608,9.027953614067608,0.02222664036693396,0.15505095752607578,0.03388503577474236,0.1786237291985593,330,169,rdrobust_py_masspoints_off
T3,resid1_lnl,1,T3_Channels/channels_QJE_final.dta,resid1_lnl,neg_ind0==1,tri,mserd,off,statspai_native,5473,5.109269881817653,5.109269881817653,9.263476367953453,9.263476367953453,-0.39631410805014183,0.20342075499863882,-0.43376423973583034,0.24457364464907122,811,395,
T3,resid1_lnl,1,T3_Channels/channels_QJE_final.dta,resid1_lnl,neg_ind0==1,tri,mserd,off,statspai_matched,5473,6.500031303627627,6.500031303627627,9.833537593616525,9.833537593616525,-0.22246411527867413,0.16364801232587636,-0.27206712302931235,0.20675262293852079,1050,824,rdrobust_py_masspoints_off
T3,resid1_lnl,2,T3_Channels/channels_QJE_final.dta,resid1_lnl,neg_ind0==1,epa,mserd,off,statspai_native,5473,5.447400942726827,5.447400942726827,9.27665551530762,9.27665551530762,-0.351726903964525,0.18645626042855232,-0.39261495622238773,0.2314785431660096,895,432,
T3,resid1_lnl,2,T3_Channels/channels_QJE_final.dta,resid1_lnl,neg_ind0==1,epa,mserd,off,statspai_matched,5473,6.472954339295691,6.472954339295691,9.773444965998785,9.773444965998785,-0.18962314666262509,0.1579211356760946,-0.22794923260931454,0.20066143206253134,1050,820,rdrobust_py_masspoints_off
T3,resid1_lnl,3,T3_Channels/channels_QJE_final.dta,resid1_lnl,neg_ind0==1,uni,mserd,off,statspai_native,5473,6.145100497144782,6.145100497144782,9.692757479314395,9.692757479314395,-0.10841617806387915,0.15552439237972676,-0.1514957381863989,0.19606091620878482,1021,759,
