exhibit,row,col,file,y,cond,kernel,bwselect,masspts,N,h_l,h_r,b_l,b_r,tau_cl,se_cl,tau_bc,se_rb,N_h_l,N_h_r
T5,resid_log_so2,1,T5_Emissions/air_emission_QJE_final.dta,resid_log_so2,1,tri,mserd,off,4740,4.4196258,4.4196258,7.2213011,7.2213011,.031440731,.28912899,.10470539,.338047,619,419
T5,resid_log_so2,2,T5_Emissions/air_emission_QJE_final.dta,resid_log_so2,1,epa,mserd,off,4740,4.2075448,4.2075448,7.1609893,7.1609893,.055436529,.29610121,.1358621,.3427479,583,373
T5,resid_log_so2,3,T5_Emissions/air_emission_QJE_final.dta,resid_log_so2,1,uni,mserd,off,4740,6.2504492,6.2504492,10.181583,10.181583,-.16445075,.24645698,-.1623861,.30109543,941,770
T5,resid_log_nox,1,T5_Emissions/air_emission_QJE_final.dta,resid_log_nox,1,tri,mserd,off,4740,3.6614523,3.6614523,5.9331412,5.9331412,.089787066,.28404611,.13260834,.34392011,531,312
T5,resid_log_nox,2,T5_Emissions/air_emission_QJE_final.dta,resid_log_nox,1,epa,mserd,off,4740,3.375134,3.375134,5.713798,5.713798,.14046414,.29333028,.17870764,.360737,478,268
T5,resid_log_nox,3,T5_Emissions/air_emission_QJE_final.dta,resid_log_nox,1,uni,mserd,off,4740,6.0950608,6.0950608,9.8329277,9.8329277,-.049284745,.19922413,-.051077597,.24024858,910,741
T6,fee,1,T6_PE/pwf_QJE_final.dta,resid1_l_pwf,1,tri,certwo,off,3050,3.3998184,3.7980649,7.7928057,7.3022346,-1.1390542,.4419103,-1.2397687,.50810909,304,161
T6,fee,2,T6_PE/pwf_QJE_final.dta,resid1_l_pwf,1,epa,certwo,off,3050,2.9312816,3.2317214,7.223,6.7411838,-1.3172398,.45015886,-1.4156014,.5421012,286,117
T6,fee,3,T6_PE/pwf_QJE_final.dta,resid1_l_pwf,1,uni,certwo,off,3050,2.6096132,3.4842811,6.587501,7.2166104,-.90962982,.47657198,-.96321672,.55825651,282,144
T6,party_inc1,1,T6_PE/PE_QJE_final.dta,resid1_tfpop_s,neg_ind0==1 & party_inc==1,tri,mserd,off,5305,4.7717094,4.7717094,7.7539921,7.7539921,.56033611,.20405562,.57617277,.24374694,752,335
T6,party_inc1,2,T6_PE/PE_QJE_final.dta,resid1_tfpop_s,neg_ind0==1 & party_inc==1,epa,mserd,off,5305,4.9232416,4.9232416,8.2564535,8.2564535,.58097076,.19885534,.59382093,.23999181,775,399
T6,party_inc1,3,T6_PE/PE_QJE_final.dta,resid1_tfpop_s,neg_ind0==1 & party_inc==1,uni,mserd,off,5305,4.3220034,4.3220034,7.9313416,7.9313416,.59116036,.1982628,.58233225,.24251042,654,328
T6,party_inc1,4,T6_PE/PE_QJE_final.dta,resid1_tfpop_s,neg_ind0==0 & party_inc==1,tri,mserd,off,9382,4.8782949,4.8782949,8.772543,8.772543,.11923736,.13307723,.12129284,.15758345,1518,820
T6,party_inc1,5,T6_PE/PE_QJE_final.dta,resid1_tfpop_s,neg_ind0==0 & party_inc==1,epa,mserd,off,9382,5.6051469,5.6051469,9.6037903,9.6037903,.087904386,.1363268,.086695887,.16832016,1819,1083
T6,party_inc1,6,T6_PE/PE_QJE_final.dta,resid1_tfpop_s,neg_ind0==0 & party_inc==1,uni,mserd,off,9382,6.8899899,6.8899899,10.188689,10.188689,.072231449,.10440124,.075729989,.12656663,2181,1894
T6,party_inc0,1,T6_PE/PE_QJE_final.dta,resid1_tfpop_s,neg_ind0==1 & party_inc==0,tri,mserd,off,2450,5.8978105,5.8978105,7.4378333,7.4378333,.1290186,.18598509,.13370883,.24608141,395,275
T6,party_inc0,2,T6_PE/PE_QJE_final.dta,resid1_tfpop_s,neg_ind0==1 & party_inc==0,epa,mserd,off,2450,4.6267872,4.6267872,6.4786749,6.4786749,.18742776,.25455478,.20165114,.3063575,301,118
T6,party_inc0,3,T6_PE/PE_QJE_final.dta,resid1_tfpop_s,neg_ind0==1 & party_inc==0,uni,mserd,off,2450,3.7131727,3.7131727,6.0575161,6.0575161,.18459138,.26519191,.22506958,.3274315,271,118
T6,party_inc0,4,T6_PE/PE_QJE_final.dta,resid1_tfpop_s,neg_ind0==0 & party_inc==0,tri,mserd,off,4739,3.7920868,3.7920868,6.8241925,6.8241925,.036889907,.18621209,.040638197,.24599271,881,355
T6,party_inc0,5,T6_PE/PE_QJE_final.dta,resid1_tfpop_s,neg_ind0==0 & party_inc==0,epa,mserd,off,4739,3.8532138,3.8532138,7.3063793,7.3063793,.011617165,.19319569,-.011218695,.25512928,881,355
T6,party_inc0,6,T6_PE/PE_QJE_final.dta,resid1_tfpop_s,neg_ind0==0 & party_inc==0,uni,mserd,off,4739,2.6084416,2.6084416,5.393846,5.393846,.26051214,.22038387,.2897377,.32730368,736,252
T6,automatic1,1,T6_PE/auto_QJE_final.dta,resid1_tfpop_s,neg_ind0==1 & automatic==1,tri,mserd,off,932,4.5037398,4.5037398,8.8628855,8.8628855,1.1814381,.54868662,1.2965286,.67096478,79,41
T6,automatic1,2,T6_PE/auto_QJE_final.dta,resid1_tfpop_s,neg_ind0==1 & automatic==1,epa,mserd,off,932,4.4985142,4.4985142,9.0116596,9.0116596,1.2187159,.54898769,1.3480803,.66236138,79,41
